Greenhouse_Rank,Country,Greenhouse_Score,Greenhouse_Overall
7,United,75.9,High
12,India,71.8,High
18,Italy,67,Medium
22,France,62.1,Medium
23,European,61.6,Medium
25,Brazil,60.6,Medium
28,Indonesia,58.8,Medium
29,Mexico,58.7,Medium
34,Germany,55.5,Low
37,Turkey,54.1,Low
39,South,52.7,Low
44,Russian,49.1,Low
46,Argentina,46.4,Low
47,Japan,46.1,Low
49,Australia,44.2,Very Low
51,China,43.6,Very Low
54,Canada,32.5,Very Low
57,United,21.4,Very Low
59,Republic,13.5,Very Low
60,Saudi,2.3,Very Low
